Aux Position (J=X5),Sys Position (J=X5),Aux Velocity (J=X5),Sys Velocity (J=X5),Aux Position (J=X0),Sys Position (J=X0),Aux Velocity (J=X0),Sys Velocity (J=X0),Target Position (J=X5),Target Position (J=X0),Change Position (J=X5),Change Position (J=X0),Original Change Position (J=X5),Original Change Position (J=X0),Pos Func Position (J=X5),Pos Func Position (J=X0)
162.0,80.0,655.0,169.0,-211.0,-293.0,655.0,169.0,-373.0,0.0,214.0,214.0,214.0,214.0,0.005988,0.005988
165.0,81.0,647.0,171.0,-208.0,-292.0,647.0,171.0,-373.0,0.0,211.0,211.0,211.0,211.0,0.005917,0.005917
168.0,82.0,639.0,173.0,-205.0,-291.0,639.0,173.0,-373.0,0.0,208.0,208.0,208.0,208.0,0.005848,0.005848
171.0,83.0,631.0,175.0,-202.0,-290.0,631.0,175.0,-373.0,0.0,205.0,205.0,205.0,205.0,0.00578,0.00578
174.0,84.0,623.0,177.0,-199.0,-289.0,623.0,177.0,-373.0,0.0,202.0,202.0,202.0,202.0,0.005714,0.005714
177.0,85.0,615.0,179.0,-196.0,-288.0,615.0,179.0,-373.0,0.0,199.0,199.0,199.0,199.0,0.00565,0.00565
180.0,86.0,607.0,182.0,-193.0,-287.0,607.0,182.0,-373.0,0.0,196.0,196.0,196.0,196.0,0.005587,0.005587
183.0,87.0,600.0,185.0,-190.0,-286.0,600.0,185.0,-373.0,0.0,193.0,193.0,193.0,193.0,0.005495,0.005495
186.0,88.0,593.0,188.0,-187.0,-285.0,593.0,188.0,-373.0,0.0,190.0,190.0,190.0,190.0,0.005405,0.005405
189.0,89.0,586.0,191.0,-184.0,-284.0,586.0,191.0,-373.0,0.0,187.0,187.0,187.0,187.0,0.005319,0.005319
192.0,90.0,579.0,194.0,-181.0,-283.0,579.0,194.0,-373.0,0.0,184.0,184.0,184.0,184.0,0.005236,0.005236
194.0,91.0,572.0,197.0,-179.0,-282.0,572.0,197.0,-373.0,0.0,181.0,181.0,181.0,181.0,0.005155,0.005155
196.0,92.0,565.0,200.0,-177.0,-281.0,565.0,200.0,-373.0,0.0,179.0,179.0,179.0,179.0,0.005076,0.005076
198.0,93.0,558.0,203.0,-175.0,-280.0,558.0,203.0,-373.0,0.0,177.0,177.0,177.0,177.0,0.005,0.005
200.0,94.0,552.0,206.0,-173.0,-279.0,552.0,206.0,-373.0,0.0,175.0,175.0,175.0,175.0,0.004926,0.004926
202.0,95.0,546.0,208.0,-171.0,-278.0,546.0,208.0,-373.0,0.0,173.0,173.0,173.0,173.0,0.004854,0.004854
204.0,96.0,540.0,210.0,-169.0,-277.0,540.0,210.0,-373.0,0.0,171.0,171.0,171.0,171.0,0.004808,0.004808
206.0,97.0,534.0,212.0,-167.0,-276.0,534.0,212.0,-373.0,0.0,169.0,169.0,169.0,169.0,0.004762,0.004762
208.0,98.0,528.0,214.0,-165.0,-275.0,528.0,214.0,-373.0,0.0,167.0,167.0,167.0,167.0,0.004717,0.004717
210.0,99.0,522.0,216.0,-163.0,-274.0,522.0,216.0,-373.0,0.0,165.0,165.0,165.0,165.0,0.004673,0.004673
212.0,100.0,516.0,218.0,-161.0,-273.0,516.0,218.0,-373.0,0.0,163.0,163.0,163.0,163.0,0.00463,0.00463
214.0,101.0,510.0,220.0,-159.0,-272.0,510.0,220.0,-373.0,0.0,161.0,161.0,161.0,161.0,0.004587,0.004587
216.0,102.0,504.0,222.0,-157.0,-271.0,504.0,222.0,-373.0,0.0,159.0,159.0,159.0,159.0,0.004545,0.004545
218.0,103.0,498.0,224.0,-155.0,-270.0,498.0,224.0,-373.0,0.0,157.0,157.0,157.0,157.0,0.004505,0.004505
220.0,104.0,493.0,226.0,-153.0,-269.0,493.0,226.0,-373.0,0.0,155.0,155.0,155.0,155.0,0.004464,0.004464
222.0,105.0,488.0,228.0,-151.0,-268.0,488.0,228.0,-373.0,0.0,153.0,153.0,153.0,153.0,0.004425,0.004425
224.0,106.0,483.0,230.0,-149.0,-267.0,483.0,230.0,-373.0,0.0,151.0,151.0,151.0,151.0,0.004386,0.004386
226.0,107.0,478.0,232.0,-147.0,-266.0,478.0,232.0,-373.0,0.0,149.0,149.0,149.0,149.0,0.004348,0.004348
228.0,108.0,473.0,234.0,-145.0,-265.0,473.0,234.0,-373.0,0.0,147.0,147.0,147.0,147.0,0.00431,0.00431
230.0,109.0,468.0,236.0,-143.0,-264.0,468.0,236.0,-373.0,0.0,145.0,145.0,145.0,145.0,0.004274,0.004274
231.0,110.0,463.0,238.0,-142.0,-263.0,463.0,238.0,-373.0,0.0,143.0,143.0,143.0,143.0,0.004237,0.004237
232.0,111.0,458.0,240.0,-141.0,-262.0,458.0,240.0,-373.0,0.0,142.0,142.0,142.0,142.0,0.004202,0.004202
233.0,112.0,453.0,242.0,-140.0,-261.0,453.0,242.0,-373.0,0.0,141.0,141.0,141.0,141.0,0.004167,0.004167
234.0,113.0,448.0,244.0,-139.0,-260.0,448.0,244.0,-373.0,0.0,140.0,140.0,140.0,140.0,0.004132,0.004132
235.0,114.0,443.0,246.0,-138.0,-259.0,443.0,246.0,-373.0,0.0,139.0,139.0,139.0,139.0,0.004098,0.004098
236.0,115.0,439.0,248.0,-137.0,-258.0,439.0,248.0,-373.0,0.0,138.0,138.0,138.0,138.0,0.004065,0.004065
